Name,Response rate,Popularity,Room Score,Service Score,Food Score,Location Score,Overall Score
A Bar D Motel,0%,68%,,50,,100,63
AC Hotel Denver Downtown,94%,90%,65,85,72,83,87
Ahwahnee Motel,0%,11%,47,50,,,75
Airway Motel,0%,57%,100,75,,,48
Aloft Denver Downtown,97%,72%,61,92,61,91,83
Aloft Denver International Airport,7%,58%,55,76,56,88,79
Americas Best Value Inn Lakewood South Tacoma,46%,10%,24,60,37,56,55
Americas Best Value Inn-Westminster/Huntington Beach,61%,56%,59,87,38,94,80
Americinn Hotel & Suites Denver Airport,79%,58%,63,77,64,91,80
Anchor Motel,0%,18%,25,80,,100,77
Apartments Convention Center 16th Street Mall,0%,77%,33,50,,100,73
Aurora Inn,67%,100%,71,93,,100,84
Aurora Inn Hotel and Event Center,3%,25%,67,86,84,86,85
Aurora Motel,0%,67%,50,80,,,61
Aurora Pines Motel,0%,,74,100,,100,65
Baymont by Wyndham Denver International Airport,51%,61%,50,75,54,89,74
Baymont Inn And Suites Denver West/Federal Center,40%,,32,55,40,77,60
Belcaro Motel,53%,31%,70,75,0,94,80
BEST WESTERN Denver Southwest,9%,91%,60,89,79,86,84
BEST WESTERN Hotel Gateway Inn & Suites,73%,96%,59,86,83,92,81
BEST WESTERN Hotel Westminster,96%,,60,89,94,83,80
Best Western Palm Garden Inn,43%,89%,56,87,77,90,79
Best Western Plus Denver International Airport Inn & Suites,22%,55%,48,80,64,85,73
BEST WESTERN Stapleton Hotel Denver [Colorado],0%,47%,28,56,43,72,42
Best Western Westminster Inn,4%,100%,63,94,73,85,82
Big Bunny Motel,12%,,62,25,,0,49
Black Horse Lodge and Suites,2%,20%,27,54,50,67,61
Blue Sky Motel,0%,,56,100,,100,62
Branding Iron Motel,0%,32%,0,100,,,71
Briarwood Inn,0%,,,100,100,,69
Budget Host Ken’s Motel,0%,,73,100,100,100,84
Cambria Suites Denver Airport,36%,66%,83,88,76,89,89
Candlewood Suites Aurora-Naperville,46%,70%,77,81,47,84,84
Candlewood Suites Denver West Federal Ctr,72%,92%,76,79,27,97,84
Candlewood Suites Lakewood,55%,,74,95,17,100,86
Chalet Motel,0%,,50,0,,100,47
Comfort Inn & Suites,0%,,72,89,86,76,86
Comfort Inn & Suites Denver,50%,49%,53,80,83,67,73
Comfort Inn Central,31%,59%,54,74,84,71,75
Comfort Inn Denver East,43%,68%,59,72,86,85,76
Comfort Inn Denver Southeast Area,44%,56%,60,75,62,91,74
Comfort Inn Lancaster County North,6%,33%,72,95,93,96,85
Comfort Suites - Aurora,29%,,64,64,65,74,76
Comfort Suites Denver International Airport,42%,56%,79,75,59,86,86
Comfort Suites Highlands Ranch Denver Tech Center Area,86%,60%,71,91,69,92,85
Comfort Suites Lakewood - Denver,86%,,77,75,72,81,78
Comfort Suites Near Denver Downtown,91%,60%,69,74,63,75,78
Comfort Suites Westminster,97%,38%,51,86,67,92,75
Cottonwood Suites Westminster,49%,25%,51,78,69,94,68
Country Squire Motel,0%,,82,88,,67,93
Courtyard by Marriott Denver Downtown,64%,74%,65,84,48,90,86
Courtyard by Marriott Denver North/Westminster,68%,,85,88,72,94,87
Courtyard by Marriott Denver Southwest / Littleton,52%,60%,77,84,50,94,86
Courtyard by Marriott Denver Southwest-Lakewood,2%,53%,44,76,31,80,72
Courtyard by Marriott Denver Stapleton,45%,51%,67,82,43,62,82
Courtyard Denver Airport,5%,62%,72,81,77,80,85
Courtyard Denver Airport at Gateway Park,9%,65%,67,69,43,84,80
Courtyard Denver Cherry Creek,36%,60%,62,87,76,92,84
Courtyard Denver West/Golden,79%,64%,55,85,46,87,85
Courtyard Littleton Marriott,95%,,73,100,33,85,94
Crazy 8 Motel,0%,,43,0,,,66
Crazy Horse Campground,0%,,83,83,50,94,92
Crestwood Suites of Denver - Aurora,13%,38%,29,43,0,83,61
Crossland Economy Studios - Denver - Airport - Aurora,38%,40%,21,46,20,84,47
Crossland Economy Studios - Denver - Lakewood West,34%,33%,26,51,23,50,52
Days Inn,0%,,33,100,0,100,47
Days Inn & Suites DIA-Denver International Airport,41%,27%,38,67,60,90,69
Days Inn Cleveland Lakewood,11%,0%,18,54,23,84,49
Days Inn Denver Downtown,21%,18%,44,72,47,66,59
Days Inn Hotel Westminster [Maryland],1%,,44,92,65,81,75
Denver Airport Marriott at Gateway Park,47%,66%,60,80,67,86,82
Denver City Motel,65%,,70,100,0,100,79
Denver Marriott South at Park Meadows,91%,54%,72,87,76,92,87
Denver Marriott Tech Center,87%,63%,74,80,69,67,86
Denver’s Best Inn and Suites,73%,41%,52,58,68,70,72
DoubleTree by Hilton Denver - Westminster,31%,58%,45,78,61,78,76
DoubleTree by Hilton Denver-Aurora,92%,85%,70,83,68,91,86
DoubleTree by Hilton Hotel Denver,89%,57%,49,79,69,74,80
DoubleTree by Hilton Hotel Denver - Stapleton North,70%,49%,62,83,66,74,80
Driftwood Motel,0%,21%,62,50,,100,68
Drury Inn & Suites Denver Stapleton,0%,,84,95,90,87,92
Drury Inn & Suites Denver Westminster,0%,,84,94,90,96,92
E.B. Morgan House,0%,,100,100,100,100,99
Eastgate Motor Inn,91%,58%,68,89,50,94,81
Econo Lodge Denver International Airport,0%,78%,36,75,51,88,72
Econo Lodge Inn And Suites Denver,0%,,31,66,51,84,72
Element Denver Downtown East,39%,98%,73,85,75,75,86
Embassy Suites by Hilton Denver Downtown Convention Center,49%,79%,68,75,83,85,83
Embassy Suites by Hilton Denver Southeast,82%,70%,62,81,84,85,85
Embassy Suites by Hilton Denver Stapleton,31%,83%,64,79,90,77,85
Embassy Suites Denver-International Airport,73%,58%,71,76,82,72,82
Ember Hostel,21%,96%,75,91,55,96,86
Essex House Motor,5%,,40,45,0,85,53
Extended Stay America - Denver - Aurora South,67%,59%,31,58,40,77,62
Extended Stay America - Denver - Park Meadows,68%,34%,30,73,25,94,73
Extended Stay America - Denver - Tech Center - North,29%,42%,13,47,20,64,42
Extended Stay America - Denver - Westminster,65%,43%,58,68,29,78,74
Extended Stay America Denver Aurora North,68%,55%,29,59,37,85,67
Extended Stay America Hotel South Lakewood [Colorado],59%,0%,37,65,39,77,67
Fairfield Inn & Suites by Marriott Denver Airport,44%,60%,61,83,67,86,80
Fairfield Inn & Suites by Marriott Denver Downtown,89%,63%,85,85,77,71,87
Fairfield Inn & Suites by Marriott Denver West/Federal Center,92%,,79,92,76,93,91
Fairfield Inn & Suites Denver Aurora/Southlands,22%,,53,80,66,97,81
Fairfield Inn & Suites Denver North Westminster,31%,,74,76,85,92,83
Fairfield Inn & Suites Denver Southwest/Lakewood,70%,71%,43,83,80,85,75
Fairfield Inn & Suites Denver Tech Center North,94%,38%,71,87,50,82,89
Fairfield Inn by Marriott Denver Cherry Creek,97%,55%,53,86,57,78,78
Fairfield Inn Denver Aurora,21%,19%,56,70,69,85,77
Fairfield Inn Denver West / Federal Center,44%,,38,66,32,80,70
Four Seasons Hotel Denver,66%,98%,82,88,84,94,92
Gaylord Rockies Resort,13%,,63,71,41,53,83
Golden Days Inn & Suites Golden/West Denver,76%,51%,40,59,33,89,66
